date;tweet;nlikes;nretweets;hashtags
2022-04-23 23:10:51;Je pensais que les nombreux effets indésirables et décès post-vaccinaux allaient peser sur l'élection et que Macron serait facilement éliminé mais les gens ne veulent toujours pas comprendre que leurs douleurs et maladies sont en  grande partie liées aux injections toxiques.;216;88;[]
2022-04-23 23:04:07;Si tu penses qu'une bonne guerre atomique manque à la France, vote Macron.;2201;799;[]
2022-04-23 22:59:42;J'espère que Macron n'est pas rancunier parce que vu les scores que Marine fera en Guadeloupe il s'en souviendra quand il faudra lâcher l'argent pour aider notre département.;472;156;[]
2022-04-23 22:59:31;Bah RT pas si tu veux (comme si j'avais quelques chose à y gagner ou un buisness à faire tourner...genre comme toi par exemple). Par contre faut rester cohérent, au lieu de sucer Macron (la honte vraiment hein je te méprise) tu peux mettre cette énergie sur Assange 🤡 Parles-en.;303;8;[]
2022-04-23 22:58:29;🇹🇷 #Macron a aband au moins 50 officiers français à la mort a Mariupol ...offic militaires et du renseignement 🇫🇷 dans Azovstal là pour former des combattants ukrainiens et néo-nazis. Il Leur interdit de se dévoiler ou de se rendre avant les élections.  https://t.co/0pnj4tAsfx  https://t.co/k68tZH7bcd;167;193;['macron']
2022-04-23 22:53:23;La mauvaise foi de la CAQ, clairement démontré. Les questions sur McKinsey, dérangent vraiment la CAQ et si nos médias n'étaient pas corrompus, ça ne se passerait pas comme ça. Les médias Français sont en train de régler le cas de Macron avec McKinsey.  https://t.co/Ps2fvKjPUX;122;51;[]
2022-04-23 22:51:59;Macron, on t'emmerde !!!;383;64;[]
2022-04-23 22:42:32;Donc les amis et soutiens de Macron se fichent royalement de la trêve électorale ? Pourquoi cette fébrilité alors qu'ils sont donnés vainqueurs dans les sondages et que tout le système soutient Emmanuel McKinsey ? Bizarre tout ça !! 🤔  https://t.co/ddmaYtV3Bx;261;67;[]
2022-04-23 22:41:43;@Guillaume75016 @AliceBalain Merci pour cette image et bravo, j'ai 57 ans, victime d effets secondaires du vaccin c est la première fois que j'ai peur pour une élection, peur pour ma liberté, pour ma santé, peur pour ma vie et surtout celle de mes petits enfants, demain je vote le pen tout sauf macron ❤️🙏;187;35;[]
2022-04-23 22:39:56;Bienvenue en enfer avec Macron la suite ...... préparez vos fourches les gens !  https://t.co/BX7grdiNUI;616;375;[]
2022-04-23 22:39:52;J -qq heures : une formidable dynamique se dessine en faveur de Marine Le Pen et au détriment du favori E. Macron, dont la courbe chute vertigineusement.   Enfonçons alors le clou : #VotezMarineLePen pour lui donner la plus large VICTOIRE !  https://t.co/6bSanuNltW;404;213;['votezmarinelepen']
2022-04-23 22:33:55;On disait que Donald Trump créerait une 3ème Guerre Mondiale : 0 guerre. On disait que Joe Biden réconcilierait les Américains : 60% des Américains le désapprouvent.  Et l’on va dire que Marine Le Pen déclencherait une guerre civile… Et que Macron rassemble.  Ben voyons.;984;410;[]
2022-04-23 22:33:19;A partir de demain 20h, en cas de réélection de Macron je cesserai de commenter tout et n'importe quoi, et je me consacrerai essentiellement à quitter ce pays. Je serai donc beaucoup moins actif ici. Bon courage à tout le monde 🫡;4106;752;[]
2022-04-23 22:32:30;je sais qu'il y a peu de chance que ça se produise mais juste imaginez la tête de Macron, le psychopathe s'il perdait demain, faîtes vous plaisir, imaginez............alors, on dit merci 😁😂🤣🤣😂;264;71;[]
