date;tweet;nlikes;nretweets;hashtags
2022-05-05 11:40:44;#PlusJamaisRN #PlusJamaisMLP @MLP_officiel patriote de son seul monopole patriotique complètement barée (🤗#LFI 😇);6;3;['plusjamaisrn', 'plusjamaismlp', 'lfi']
2022-05-05 11:39:23;@Renaud_Sand @RNational_off la secte lepen .....ce moque de la France ...  https://t.co/d2c0tG6UpZ;5;2;[]
2022-05-05 11:37:10;8 défaites sur 8 élections... LePen est même devenu une insulte... LePen... Toi même ! 🤣 🤣;5;2;[]
2022-05-05 11:34:56;Soutenir une machine à perdre et qui fait un tournant à 360° vers la gauche, ça ne fera pas avancer les Patriotes ! Sans l'union des droites, on est tous morts ! Le Pen ne voit que ça petite personne dont personne ne veut vraiment ! Si elle a été au second c'est grâce à Zemmour !;13;15;[]
2022-05-05 11:33:57;Les français et les françaises galèrent et pendant ce temps Marine Le Pen est en vacances, Pécresse et Zemmour disparus. Et ça veut faire croire qu'ils défendent les français? En attendant Mélenchon ne lâche rien et  mène le combat contre #Macron Rappelez-vous en! #NUPES;8;3;['macron', 'nupes']
2022-05-05 11:32:58;#legislatives2022 Laurent Jacobelli @ljacobelli porte-parole de ⁦@MLP_officiel⁩ et président du ⁦@RN_GrandEst⁩ annonce sa candidature dans la 8e circo de la #Moselle (Fensch/Orne). Le maire d'Hayange ⁦@FabienEngelmann⁩ sera son suppléant.  https://t.co/I8gBicrYCH;11;4;['legislatives2022', 'moselle']
2022-05-05 11:18:38;Les étudiants se plaignent du #CVEC mais je rappelle qu’ils ont fait des manifs contre lepen et ont sûrement voté macron. A votre avis qui a augmenté le cvec bande de malin ? Plus aucune peine pour vous, restez dans votre précarité !;22;4;['cvec']
2022-05-05 11:15:14;@EleonoreBez @MLP_officiel Quelle mauvaise foi! Aucun adhérent de Zemmour ne donnera encore sa voix à MLP, nous avons fait fait cette erreur une seule fois, pas deux, vous pouvez d'ores et déjà ôter plusieurs millions d'électeurs....;37;17;[]
2022-05-05 11:13:09;Vos gueules fallait voter @MLP_officiel ou @ZemmourEric Assumez les lèches c.l!  #Morandinilive;41;12;['morandinilive']
2022-05-05 10:57:45;@CharlesAvaricum @FrDesouche Marine Lepen est muette depuis 2017. Ca commence à poser problème la politique en sous marins qui refait surface une fois tous les 5 ans.;10;3;[]
2022-05-05 10:56:38;[#SudRadio] #10HeuresMidi #ParlonsVrai @valerie_expert  ▶️ #Pecresse refuse le don de Sarkozy ▶️ #Melenchon meilleur opposant à Macron que Le Pen ? ▶️ #PS : dissidences à venir ?  🗣 @Rafael_Eyth @AlexDarmon @yvesdamecourt @MichelTaube  https://t.co/6bajsVQsxm;9;3;['sudradio', '10heuresmidi', 'parlonsvrai', 'pecresse', 'melenchon', 'ps']
2022-05-05 10:56:02;"Le tripartisme actuel sous l'angle wébérien:   🎓🚔 Domination bureaucratique (obéir aux décrets-lois d'E. Macron)   ✝️🐷Domination traditionnelle (retrouver ""l'âge d'or"" avec M. Le Pen)   🌩️🌄Domination charismatique (suivre l'inspiration du tribun J-L Mélenchon)";8;1;[]
2022-05-05 10:55:51;Et Je choisirai toujours Staline face à Hitler (Stalingrad, libération d'Auschwitz) mais toujours Marine face à Jean-Luc. @MLP_officiel se trompe sur l'UE et en partie sur l'immigration. #Melenchon  @JLMelenchon trompe sur tout. Et ruinerai notre économie. Alors votons centriste;8;3;['melenchon']
2022-05-05 10:45:00;🗣️ @rougeyronpierre : « On ne se rend pas compte qu'Emmanuel #Macron peut détruire le pays. Il en a la volonté, ses hommes en ont la volonté. » #Elections2022 #legislatives2022 #Zemmour #LePen  L’entretien complet ➡  https://t.co/StuV7rrPGx  https://t.co/vWQRQtQrL3;13;4;['macron', 'elections2022', 'legislatives2022', 'zemmour', 'lepen']
2022-05-05 10:44:47;@GG_RMC Gérald est pro Poutine ... Gérald a voté Zemmour, Lepen ou Mélenchon ... Gérald ne va quand même pas sacrifier ses RTT de petit bourgeois de l'Europe pour quelques crimes de guerre ... Gérald a besoins de son pouvoir d'achat pour partir un congé cet été ...  Gérald est un lâche !;15;0;[]
2022-05-05 10:44:17;Ou bien: Meeting Chambéry 25/02 «On vous aime» «Moi aussi, je vous aime»  https://t.co/xKplfXMeGc Déjà vu avec @EmmanuelMacron, @MLP_officiel, @JLMelenchon ? Ça restera pour toujours !  + de 4.560 nouveaux adhérents ont rejoint #R! depuis le 10 avril, ça continue…  Déjà vu en 🇫🇷?;5;1;['r']
2022-05-05 10:43:48;@EleonoreBez @MLP_officiel Toujours perdante, parce qu’elle a la volonté de perdre uniquement. Elle roule pour Macron et ça commence à se savoir.;7;2;[]
2022-05-05 10:41:30;@frenchieinlimbo Oui. C'est une trahison. Même programme que LePen. Les extrémistes se rejoignent dans l'abject.;5;1;[]
2022-05-05 10:38:26;@Dylan_LemoineRN @RNational_off @JeunesMarine_ @J_Bardella @MLP_officiel @CoteEmeraude_RN Le mot « prénom » vient du latin « praenomen », composé de « prae » qui signifie « avant » et de « nomen » qui signifie « le nom ».;10;0;[]
2022-05-05 10:38:25;D'après deux projections @JLMelenchon sera battu par @MLP_officiel .... le poste de Premier Ministre s'éloigne pour lui.  (magazine Challenges du 05-05-2022).  https://t.co/XeaKkU5CQv;15;11;[]
2022-05-05 10:29:14;@marclesi1 @VatoutineN B M. Bouhafs a nié la nationalité française de @LindaKebbab c'est un propos d'extrême droite pour moi. Quand on est fonctionnaire on est français. Si on devait virer tous les fonctionnaires ayant des origines on n'en a déjà pas beaucoup, cela serait le même programme que le pen;10;2;[]
2022-05-05 10:25:43;@JFB_jaimeZ0ZZ @Cartier7Clement @EleonoreBez @MLP_officiel MLP ne doit pas oublié que son score à la présidentielle est dû au vote massif des Zemmouriens ! Sans nous, elle garde ses 7 députés.. En face : gauche unie. Il vaut mieux une mauvaise union politique que pas d'alliance du tout. #UnionDesDroites #LaReconqueteContinue;15;3;['uniondesdroites', 'lareconquetecontinue']
2022-05-05 10:25:12;NUPES accord minable et dangereux. Si vous votez aux législatives NUPES, LEPEN,ou Z  vous votez Poutine;9;6;[]
2022-05-05 10:22:06;"@LCI @TF1 Macron élu par 58,54 % des suffrages exprimés soit 38,52 % des inscrits #franceinfo : 42 % des électeurs qui ont voté pour lui l'ont fait pour barrage à Lepen =&gt; 22,34 % des inscrits ont voté pour macron  =&gt; 78 % N'ONT PAS VOTÉ POUR LUI 37 millions sur 47 n'ont pas voté pour lui";7;3;['franceinfo']
2022-05-05 10:20:52;« En dépit de divergences non négligeables… ». En effet : le programme de Jean-Luc Mélenchon prépare la sortie de l’Europe et pour cela, s’assoit sur l’Etat de droit, exactement comme Marine Le Pen. C’est écrit en toutes lettres :  https://t.co/9uzIgKOLEX;130;64;[]
2022-05-05 10:19:51;"@rglucks1 vous appelez donc à voter pour celui qui avec LePen et Zemmour a toujours défendu #Poutine ; #Tchechenie #Syrie #Ukraine .. j ai honte pour vous.";6;2;['poutine', 'tchechenie', 'syrie', 'ukraine']
2022-05-05 10:16:58;@Tecoub Intéressant, mais si le scénario se vérifie, cela ouvrira directement la porte, à droite, à des alliances avec le RN. Si le PS se sauve en s'alliant avec Mélenchon, plus personne à droite n'aura de scrupules à adopter la même stratégie avec Le Pen.;5;0;[]
2022-05-05 10:15:23;On a des nouvelles de Marine Le Pen ?;9;1;[]
2022-05-05 10:13:14;@EleonoreBez @MLP_officiel Faut arrêter de rêver, ces électeurs en plus ne sont que des électeurs de circonstance sur lesquels elle ne peut compter à l’avenir;8;0;[]
2022-05-05 10:12:50;Dans un pays normal, Le Pen, Zemmour et Mélenchon seraient traduits devant la justice pour intelligence avec une puissance ennemie...  Ici, l'une a fait 41% au 2e tour, le 2e finit qd même 5e du 1er tour, le 3e a carrément absorbé le PS et EELV et exige d'être 1er Ministre  https://t.co/Zg3ozYoqGg;12;7;[]
2022-05-05 10:11:34;@fabien_gay Marine le Pen proposait cette mesure mais vous avez voté Macron. Le mieux c'est de se faire tout petit.;11;1;[]
2022-05-05 10:10:54;En 30 de vie politique en France on est passé de Chirac et Mitterrand a Jacob et Faure.  C'est dire si le niveau de ces deux grands partis a chuté.  Ils ont fait prospérer Mélenchon et Le Pen. Les familles de ces deux-là ont une rente pour les 30 ans à venir. 🤑 #argentpublic;54;21;['argentpublic']
2022-05-05 10:08:27;J’ai fait des duhaa pour que le pen soit élu  https://t.co/thd3fR8KhR;5;3;[]
2022-05-05 10:05:56;"Listening to the radio, @fogiesbert makes a good point about #Mélenchon: the French media refer to his coalition as ""la gauche"", yet describe #LePen and #Zemmour as ""extrême droite"". His point: Mélenchon's movement is not ""la gauche"", it's ""extrême gauche"". Call a spade a spade.";25;6;['mélenchon', 'lepen', 'zemmour']
2022-05-05 10:01:28;La gauche fait bloc autour d’un politicard qui préfère taper sur les flics plutôt que sur les islamistes. SVP @RNational_off, @MLP_officiel, @ZemmourEric @Reconquete2022 @DLF_Officiel @dupontaignan @lesRepublicains vous pourriez penser à la France plutôt qu’à votre gueule ?;40;26;[]
2022-05-05 10:01:20;@MartineAubry @partisocialiste @FranceInsoumise Marine le Pen vous remercie.;14;1;[]
2022-05-05 09:45:23;@EleonoreBez @MLP_officiel Même si on n'enlève pas les 2,5m de votes R! qui ne reviendront jamais plus, la progression est chaque fois 2 fois moins importante : +16% puis +8%... et ensuite +4%, +2%, +1%.... Problème : la limite à l'infini de cette suite géométrique donne moins de 50%. MLP est une perdante!;9;3;[]
2022-05-05 09:42:37;@katz69003 @HHAF75 @FredBadBoy1 Le plus drôle c'est que c'était pareil chez Marine Le Pen, même explications foireuses. Là bas, tout le monde peut partir à 60 mais avec une retraite au prorata, donc tant pis les pauvres, vous, allez bosser plus longtemps.;10;4;[]
2022-05-05 09:40:24;@Penseursauvage Donc les gens sont prêts à défendre les mouvements anti avortement si toi ou @AstronoGeek vous vous y disiez opposé ?  Je dis souvent que si Lepen disait que l’oxygène est indispensable, une partie des gens se couvrirait la tête d’un sac en plastique. Je croyais blaguer.;7;0;[]
2022-05-05 09:38:24;Finalement tu peux avoir les mêmes positions idéologiques que Le Pen (sortie de l'Europe, haine de l'Otan) soutenir les mêmes personnes (par exemple Putin), avoir une relation ambiguë avec les origines ethniques des personnes, mais si tu dis que t'es de gauche ça passe crème.;151;54;[]
2022-05-05 09:37:53;@rglucks1 Mélenchon Le Pen Zemmour Glucksmann Poutine Ne cherchez plus, il n'y a plus d'erreurs.;24;7;[]
2022-05-05 09:37:12;@audic_caroline @ManuelFranois1 @sous_h C'était le cas également pour ce que promettait @MLP_officiel . Des menteurs qui vendent du rêves, de l'utopie!;8;2;[]
2022-05-05 09:35:40;@sous_h @Clem_Autain  aussi naze que @MLP_officiel finalement...;14;4;[]
